  680,  -590,   473
  694,  -585,   448
  675,  -585,   412
  697,  -589,   448
  686,  -610,   445
  724,  -621,   461
  705,  -583,   404
  684,  -628,   397
  674,  -636,   414
  680,  -628,   380
  700,  -643,   358
  697,  -654,   366
  698,  -642,   339
  700,  -652,   335
  718,  -673,   341
  710,  -648,   305
  693,  -648,   295
  717,  -640,   322
  713,  -613,   303
  732,  -627,   312
  730,  -640,   308
  718,  -645,   278
  728,  -651,   262
  734,  -658,   275
  725,  -636,   251
  734,  -635,   245
  731,  -639,   237
  793,  -613,   267
  770,  -573,   221
  787,  -604,   232
  789,  -585,   265
  786,  -551,   225
  787,  -575,   262
  789,  -581,   232
  792,  -571,   252
  782,  -560,   267
  780,  -546,   227
  770,  -529,   235
  816,  -588,   244
  813,  -566,   262
  792,  -571,   215
  807,  -534,   181
  824,  -578,   179
  821,  -567,   252
  813,  -543,   192
  810,  -569,   218
  773,  -536,   170
  787,  -596,   154
  807,  -604,   170
  837,  -579,   256
  799,  -595,   136
  778,  -645,   141
  748,  -624,   127
  777,  -619,   142
  804,  -597,   317
  772,  -621,   153
  765,  -634,   224
  740,  -636,   214
  736,  -636,   219
  723,  -661,   228
  726,  -652,   229
  739,  -636,   242
  747,  -630,   245
  752,  -628,   246
  738,  -629,   225
  756,  -629,   238
  751,  -619,   238
  748,  -630,   248
  751,  -632,   251
  732,  -632,   249
  720,  -656,   264
  696,  -687,   277
  698,  -682,   284
  709,  -648,   308
  718,  -645,   303
  716,  -631,   313
  709,  -642,   302
  708,  -647,   321
  721,  -621,   305
  717,  -633,   303
  705,  -650,   302
  713,  -647,   301
  728,  -634,   306
  726,  -654,   300
  709,  -659,   292
  708,  -655,   292
  712,  -634,   281
  718,  -642,   295
  711,  -646,   286
  715,  -656,   294
  727,  -633,   288
  726,  -631,   289
  724,  -646,   289
  708,  -630,   287
  725,  -649,   279
  725,  -663,   270
  724,  -664,   256
  724,  -657,   250
  721,  -629,   252
  746,  -625,   272
  749,  -627,   257
  738,  -642,   268
  733,  -668,   257
  722,  -661,   251
  719,  -654,   242
  720,  -655,   242
  730,  -641,   237
  739,  -646,   243
  742,  -645,   245
  742,  -640,   240
  742,  -637,   241
  728,  -635,   245
  723,  -650,   247
  720,  -667,   253
  726,  -662,   249
  730,  -647,   243
  729,  -657,   256
  717,  -656,   241
  725,  -674,   233
  722,  -662,   234
  726,  -631,   246
  743,  -640,   249
  743,  -650,   246
  734,  -648,   254
  727,  -642,   256
  732,  -638,   260
  727,  -645,   260
  728,  -652,   264
  732,  -650,   263
  722,  -643,   268
  723,  -633,   269
  733,  -640,   280
  729,  -643,   272
  732,  -653,   275
  724,  -638,   267
  726,  -642,   266
  727,  -644,   264
  734,  -647,   263
  724,  -647,   274
  725,  -641,   275
  726,  -646,   282
  731,  -643,   283
  717,  -626,   269
  718,  -665,   268
  714,  -664,   275
  721,  -641,   274
  720,  -651,   259
  726,  -657,   274
  725,  -639,   264
  726,  -646,   255
  725,  -652,   262
  733,  -653,   247
  736,  -643,   255
  731,  -633,   258
  734,  -643,   246
  728,  -640,   243
  737,  -632,   231
  731,  -624,   247
  757,  -620,   243
  759,  -600,   227
  771,  -618,   213
  761,  -631,   202
  770,  -629,   187
  783,  -604,   196
  787,  -592,   192
  801,  -588,   194
  809,  -570,   181
  803,  -585,   172
  786,  -587,   180
  798,  -548,   156
  810,  -569,   160
  783,  -575,   163
  817,  -583,   164
  838,  -558,   183
  849,  -504,   254
  838,  -510,   192
  845,  -540,   180
  826,  -561,   169
  809,  -552,   183
  797,  -571,   147
  805,  -604,   142
  768,  -621,   148
  837,  -600,   187
  841,  -552,   174
  812,  -534,   170
  762,  -575,   142
  761,  -658,   135
  770,  -623,   230
  790,  -609,   187
  762,  -634,   192
  763,  -651,   197
  746,  -630,   174
  735,  -620,   206
  759,  -633,   230
  752,  -631,   231
  727,  -655,   225
  714,  -691,   238
  727,  -698,   250
  711,  -675,   262
  715,  -664,   271
  720,  -677,   288
  685,  -673,   297
  642,  -661,   284
  663,  -671,   344
  712,  -645,   375
  652,  -667,   363
  636,  -664,   364
  625,  -635,   393
  674,  -664,   443
  689,  -655,   453
  653,  -631,   450
  625,  -612,   420
  628,  -641,   435
  599,  -630,   431
  628,  -649,   420
